epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.847,0.64149,3.79068,0.01239,0.00333,1,0.08239,0.05817,0.32756,3.52779,0.00806,3.334e-05,3.334e-05,3.334e-05
2,23.8311,0.81233,3.6119,0.01477,0.00333,1,0.11959,0.1039,0.30713,3.52301,0.00771,8.05995e-05,8.05995e-05,8.05995e-05
3,24.8285,0.58888,3.49614,0.00949,0.00333,1,0.16992,0.1483,0.48196,3.54503,0.01158,0.000124558,0.000124558,0.000124558
4,26.2271,0.62778,3.28265,0.01004,0.00333,1,0.23831,0.20851,0.34553,3.52733,0.00815,0.000165216,0.000165216,0.000165216
5,27.6893,0.54077,3.25421,0.00899,0.00333,1,0.48027,0.46882,0.23831,3.50239,0.0056,0.000202574,0.000202574,0.000202574
6,29.1134,0.4823,3.42867,0.00869,0.00333,1,0.50485,0.47451,0.33205,3.49993,0.00803,0.000236631,0.000236631,0.000236631
7,30.1092,0.48631,2.99798,0.00879,0.00333,1,0.53993,0.47174,0.35905,3.5027,0.00869,0.000267387,0.000267387,0.000267387
8,31.0205,0.51133,3.09823,0.01165,0.00333,1,0.4975,0.43308,0.33507,3.50172,0.00826,0.000294842,0.000294842,0.000294842
9,31.9905,0.60865,3.4317,0.01299,0.00333,1,0.775,0.68422,0.31352,3.47977,0.00797,0.000318997,0.000318997,0.000318997
10,32.9356,0.58777,3.10841,0.01432,0.00333,1,0.91018,0.79581,0.42488,3.38448,0.01058,0.000339851,0.000339851,0.000339851
11,33.8992,0.49328,2.47905,0.00762,0.00333,1,0.84157,0.74149,0.39427,3.26499,0.00958,0.000357405,0.000357405,0.000357405
12,34.8318,0.40557,2.32699,0.00683,0.00333,1,0.94667,0.85869,0.34864,3.18944,0.00822,0.000371658,0.000371658,0.000371658
13,35.8008,0.46446,2.49713,0.00865,0.00332,1,0.995,0.95107,0.33935,2.91761,0.00843,0.00038261,0.00038261,0.00038261
14,36.7223,0.41519,2.40629,0.00773,0.00332,1,0.995,0.93485,0.33805,2.85102,0.00842,0.000390261,0.000390261,0.000390261
15,37.6798,0.59416,2.23412,0.01046,0.00331,1,0.98357,0.94799,0.2962,2.66855,0.00703,0.000394612,0.000394612,0.000394612
16,38.6222,0.52817,2.14449,0.00952,0.00331,1,0.98357,0.95695,0.34289,2.6035,0.00795,0.000395662,0.000395662,0.000395662
17,39.8576,0.43349,1.97171,0.00772,0.00404,1,0.995,0.95657,0.37788,2.45523,0.00926,0.000393412,0.000393412,0.000393412
18,41.2624,0.46139,2.24744,0.00754,0.12399,1,0.995,0.98036,0.28161,2.3251,0.00683,0.000387861,0.000387861,0.000387861
19,42.684,0.41925,2.1646,0.00777,0.24315,1,0.995,0.995,0.23923,2.22932,0.0057,0.000379009,0.000379009,0.000379009
20,43.8546,0.56275,2.23433,0.01161,0.45389,1,0.995,0.995,0.27242,2.16136,0.00643,0.000366857,0.000366857,0.000366857
21,45.7114,0.26693,3.51212,0.00622,0.4883,1,0.995,0.995,0.27227,2.12547,0.00637,0.000351404,0.000351404,0.000351404
22,46.656,0.27655,3.27677,0.00738,0.65436,1,0.995,0.995,0.249,2.07066,0.00592,0.00033265,0.00033265,0.00033265
23,47.5916,0.32144,3.15474,0.00881,0.75177,1,0.995,0.97952,0.30538,2.04417,0.00715,0.000310595,0.000310595,0.000310595
24,48.5043,0.24082,3.01159,0.00646,0.73534,1,0.995,0.96595,0.33115,2.02041,0.00764,0.00028524,0.00028524,0.00028524
25,49.4279,0.33115,2.94367,0.00813,0.85336,0.98348,0.995,0.98635,0.29786,2.00157,0.00685,0.000256585,0.000256585,0.000256585
26,50.3451,0.29159,2.96357,0.00714,0.83839,1,0.995,0.9725,0.25415,1.97695,0.00587,0.000224628,0.000224628,0.000224628
27,51.2548,0.31733,2.75699,0.00717,0.82525,1,0.995,0.96334,0.27591,1.95376,0.00646,0.000189371,0.000189371,0.000189371
28,52.2174,0.30972,2.66623,0.00773,0.81277,1,0.995,0.96334,0.31283,1.95051,0.00728,0.000150813,0.000150813,0.000150813
29,53.0532,0.26856,2.65296,0.007,0.81277,1,0.995,0.96334,0.31283,1.95051,0.00728,0.000108955,0.000108955,0.000108955
30,54.4854,0.28927,2.63325,0.00743,0.88125,1,0.995,0.96334,0.3178,1.91731,0.00736,6.37961e-05,6.37961e-05,6.37961e-05
